"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 02-Feb-2024"
HINDALCO,584.5,604.5,584.5,583.95,600.9,-,16.95,2.9,"39,74,704",238.01,772.65,496.35,-1.22,0.7
ITCHOTELS,161.55,170.3,161.55,163.74,168.45,-,4.71,2.88,"1,82,21,463",305.56,180,155.1,-,-
ONGC,259,263,257.75,254.1,261.05,-,6.95,2.74,"1,15,90,755",301.86,345,223,-1.85,-3.37
APOLLOHOSP,"6,826.15","7,008.00","6,796.45","6,792.20","6,958.00",-,165.8,2.44,"3,89,639",270.67,"7,545.35","5,693.20",-6.94,8.95
BPCL,260.25,265.65,260.25,255.95,261.55,-,5.6,2.19,"1,00,88,345",265.45,376,242.2,-13.65,-55.47
ADANIPORTS,"1,126.00","1,154.90","1,123.55","1,125.10","1,147.50",-,22.4,1.99,"29,79,646",339.12,"1,621.40",995.65,-6.21,-10.6
COALINDIA,378,385.1,377.9,376.55,382.95,-,6.4,1.7,"59,14,200",226.5,543.55,361.25,-4.34,-14.47
BEL,285.65,291.8,285,284.5,288.75,-,4.25,1.49,"1,88,18,511",545.17,340.5,171.75,-2.55,56.71
ADANIENT,"2,314.95","2,349.40","2,309.05","2,301.50","2,326.80",-,25.3,1.1,"5,60,940",130.45,"3,743.90","2,025.00",-10.26,-27.48
INDUSINDBK,"1,052.40","1,078.70","1,052.40","1,047.15","1,058.50",-,11.35,1.08,"50,00,442",533.98,"1,576.35",923.7,4.94,-31.91
TATAMOTORS,711,725.45,710.7,710.55,716.95,-,6.4,0.9,"1,29,07,325",928.41,"1,179.00",683.2,-10.1,-23.33
HEROMOTOCO,"4,238.00","4,290.00","4,212.60","4,237.10","4,272.00",-,34.9,0.82,"4,08,928",174.14,"6,246.25","3,997.50",-0.14,-10.73
HDFCBANK,"1,733.00","1,744.20","1,718.90","1,720.90","1,734.80",-,13.9,0.81,"1,18,37,753","2,052.48","1,880.00","1,363.55",-1.62,19.11
DRREDDY,"1,227.00","1,233.10","1,215.85","1,219.95","1,229.80",-,9.85,0.81,"14,60,238",179.04,"1,421.49","1,120.00",-9.81,-79.98
TATASTEEL,133.15,135.39,133.08,133.42,134.34,-,0.92,0.69,"1,69,58,362",228.28,184.6,122.62,-3.57,-5.74
JSWSTEEL,941.1,954.8,941.1,944.25,950,-,5.75,0.61,"12,09,743",114.94,"1,063.00",761.75,3.19,15.91
BAJFINANCE,"8,500.00","8,588.70","8,445.50","8,475.35","8,497.10",-,21.75,0.26,"18,67,493","1,588.81","8,588.70","6,187.80",14.42,28.26
POWERGRID,285.6,290.75,284.55,285.65,286.25,-,0.6,0.21,"1,53,37,191",440.65,366.25,257.65,-9.62,0.97
GRASIM,"2,499.00","2,499.90","2,474.30","2,484.70","2,489.90",-,5.2,0.21,"4,64,164",115.41,"2,877.75","2,027.50",-1.01,18.9
ULTRACEMCO,"11,519.10","11,632.85","11,433.00","11,519.15","11,540.00",-,20.85,0.18,"2,36,897",273.94,"12,145.35","9,250.00",-2.26,16.16
WIPRO,317.8,321.45,314.9,316.25,316.75,-,0.5,0.16,"96,28,027",305.2,324.6,208.5,7.4,-34.44
BAJAJ-AUTO,"8,930.00","8,968.00","8,895.00","8,911.40","8,922.75",-,11.35,0.13,"3,29,075",293.83,"12,774.00","7,633.50",-0.61,16.36
NTPC,321,323.05,318.4,319.1,319.45,-,0.35,0.11,"1,22,26,722",391.48,448.45,296.85,-6.11,-5.06
HDFCLIFE,626,639,624.7,625.9,626.5,-,0.6,0.1,"44,67,504",282.15,761.2,511.4,0.47,11.1
INFY,"1,906.00","1,919.70","1,894.30","1,898.80","1,899.15",-,0.35,0.02,"49,96,744",950.27,"2,006.45","1,358.35",-2.06,12.54
ICICIBANK,"1,270.20","1,277.75","1,265.15","1,268.20","1,268.20",-,-,-,"68,40,709",869.21,"1,362.35",985.25,0.25,23.91
TRENT,"5,765.70","5,906.20","5,725.40","5,750.30","5,749.90",-,-0.4,-0.01,"14,28,644",830.65,"8,345.00","2,955.00",-21.31,89.96
TECHM,"1,662.85","1,671.00","1,644.40","1,659.05","1,656.45",-,-2.6,-0.16,"14,49,280",240.27,"1,807.70","1,162.95",-1.8,24.48
